,address,address_point,school_address,school_point,distance,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total
6215,Hamilton West,"(-37.800741823409, 175.284416901388)",Auckland-University,"(-36.8514305677009, 174.769064686484)",114.83237382692155,0,0,0,0,0,9,0,0,0,0,9
6216,Saint Andrews East,"(-37.7533480624409, 175.261676707503)",Maeroa,"(-37.7783485704564, 175.260288494123)",2.7775522270315762,0,0,6,0,0,0,0,0,0,0,9
6217,Ngongotaha East,"(-38.0628355062064, 176.213883963753)",Utuhina,"(-38.142499525812, 176.23214439384)",8.986457156416163,0,0,6,0,0,0,9,0,0,0,18
6218,Owhata West,"(-38.1297807997006, 176.291214557153)",Rotorua Central,"(-38.1356852120588, 176.254240124317)",3.3072803178384627,0,0,9,0,0,0,0,0,0,0,15
6219,Onehunga Central,"(-36.919741775747, 174.787096091808)",Auckland-University,"(-36.8514305677009, 174.769064686484)",7.749409859027285,0,18,0,18,0,0,0,57,0,0,99
6220,Wigram South,"(-43.5563767476043, 172.554728532659)",Oaklands East,"(-43.5760997166206, 172.561908985699)",2.266779856960511,0,0,6,0,0,0,0,0,0,0,6
6221,Maryhill,"(-45.8919454171567, 170.475685223805)",Gardens (Dunedin City),"(-45.8587784870175, 170.519168536828)",4.998684589596317,0,0,0,0,0,0,0,0,0,0,9
6222,Green Bay South,"(-36.933484888055, 174.677337977668)",West Lynn,"(-36.9252097714686, 174.66621862981)",1.3508414368473123,0,0,6,0,0,0,0,0,0,0,6
6223,Hillsborough South (Auckland),"(-36.9261194057534, 174.755586587815)",Queen Street,"(-36.84774103961, 174.765249722554)",8.74063022211958,0,12,0,0,0,0,0,0,0,0,15
6224,Green Bay North,"(-36.9262831689514, 174.685265419325)",Mount Albert Central,"(-36.8834503423131, 174.723396651018)",5.843258981126532,0,0,0,0,0,0,0,0,0,0,6
6225,Shirley East,"(-43.498425608445, 172.667253050565)",Northlands (Christchurch City),"(-43.4920926560563, 172.60688806721)",4.93293823568655,0,0,0,0,0,0,0,0,0,0,6
