WKT,code,name,easting,northing,latitude,longitude
POINT (174.689355566115 -36.5700194860561),112800,Hatfields Beach,1751160.7656,5951497.07935,-36.57001949,174.68935557
POINT (174.685783997435 -36.5901354600905),112900,Orewa South,1750802.0188,5949271.0348,-36.59013546,174.685784
POINT (174.694452800532 -36.587264766613),113000,Orewa Central,1751583.16915,5949575.8682,-36.58726477,174.6944528
POINT (174.672275560308 -36.601498297058),113100,Millwater North,1749571.5786,5948031.5638,-36.6014983,174.67227556
POINT (174.420700666635 -36.7790811440067),113200,Waipatukahu,1726776.8372,5928693.2391,-36.77908114,174.42070067
POINT (174.670008485398 -36.6123101212492),113300,Millwater South,1749347.93635,5946835.63155,-36.61231012,174.67000848
POINT (174.653742242965 -36.6446947021513),113400,Dairy Flat North,1747831.25095,5943268.0678,-36.6446947,174.65374224
POINT (174.618912084368 -36.6710048279732),113500,Dairy Flat West,1744668.2197,5940402.32165,-36.67100483,174.61891208
POINT (174.686514346281 -36.6060642705939),113600,Kingsway,1750836.3368,5947502.74985,-36.60606427,174.68651435
POINT (174.574193072032 -36.7146374520894),113700,Riverhead Forest,1740592.28435,5935628.26085,-36.71463745,174.57419307
POINT (174.674930595299 -36.6240201317468),113800,Silverdale Central (Auckland),1749765.4955,5945528.85815,-36.62402013,174.6749306
POINT (174.695459632743 -36.6112703073831),113900,Red Beach West,1751626.24685,5946911.10645,-36.61127031,174.69545963
POINT (174.704889890019 -36.6059211778783),114000,Red Beach East,1752480.2078,5947489.60975,-36.60592118,174.70488989
POINT (174.691603484106 -36.627997531631),114100,Silverdale South (Auckland),1751248.66845,5945061.46605,-36.62799753,174.69160348
POINT (174.464445079895 -36.7805997016816),114200,Waimauku,1730678.0493,5928465.91025,-36.7805997,174.46444508
POINT (174.855332005951 -36.7871190014834),114300,Gulf Islands,1765547.4738,5927137.35315,-36.787119,174.85533201
POINT (174.718039895155 -36.6179636613626),114400,Vipond,1753632.5079,5946132.6535,-36.61796366,174.7180399
POINT (174.429226392311 -36.8252510199894),114500,Muriwai,1727461.1229,5923559.84975,-36.82525102,174.42922639
POINT (174.727242255591 -36.6230019659253),114600,Stanmore Bay West,1754445.42965,5945558.93645,-36.62300197,174.72724226
POINT (174.521338355803 -36.7903906304552),114700,Kumeu Rural West,1735737.91385,5927300.4741,-36.79039063,174.52133836
POINT (174.709922570918 -36.6671137804466),114800,Okura Bush,1752809.4182,5940692.8519,-36.66711378,174.70992257
POINT (174.733583274741 -36.6366152307949),114900,Whangaparoa Central,1754985.20455,5944038.4467,-36.63661523,174.73358327
POINT (174.542866658294 -36.769982926634),115000,Kumeu-Huapai,1737695.37095,5929533.7473,-36.76998293,174.54286666
POINT (174.741763630561 -36.6293262022256),115100,Stanmore Bay East,1755731.2799,5944833.8599,-36.6293262,174.74176363
POINT (174.753000373071 -36.633365241511),115200,Manly West,1756727.86635,5944367.4746,-36.63336524,174.75300037
POINT (174.470328184298 -36.8197326981988),115300,Muriwai Valley-Bethells Beach,1731136.30205,5924116.4463,-36.8197327,174.47032818
POINT (174.77704003224 -36.6166390407086),115400,Tindalls-Matakatia,1758911.68855,5946183.5858,-36.61663904,174.77704003
POINT (174.643362922238 -36.7227087564687),115500,Coatesville,1746755.0096,5934629.0876,-36.72270876,174.64336292
POINT (174.679164075624 -36.6956026988174),115600,Dairy Flat South,1750005.0679,5937580.8266,-36.6956027,174.67916408
