WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (171.223187329554 -44.3861515650091)",340400,Highfield North,1.41108446,1.41108446,1458472.27435,5083701.4357,-44.38615156,171.22318733,171.22318733,-44.386151565
"POINT (171.217806600667 -44.3935282781664)",340500,Highfield South,0.94991531,0.94991531,1458061.51695,5082872.74105,-44.39352828,171.2178066,171.217806601,-44.3935282782
"POINT (171.242032674552 -44.3836581623284)",340600,Waimataitai-Maori Hill,1.49774365,1.49774365,1459967.41975,5084010.7936,-44.38365816,171.24203267,171.242032675,-44.3836581623
"POINT (171.230450714915 -44.3959659253633)",340700,Fraser Park,1.21557495,1.21557495,1459074.3864,5082623.8179,-44.39596592,171.23045071,171.230450715,-44.3959659254
"POINT (171.241695895165 -44.3954871207001)",340800,Seaview,0.73492871,0.73492871,1459968.80845,5082696.29715,-44.39548712,171.24169589,171.241695895,-44.3954871207
"POINT (171.257463092676 -44.3904458089023)",340900,Inlet Port Timaru,0,0.49029495,1461212.59775,5083283.1163,-44.39044581,171.25746309,171.257463093,-44.3904458089
"POINT (171.232011317808 -44.4062343766562)",341000,Watlington,1.20719933,1.20719933,1459223.3058,5081485.91615,-44.40623438,171.23201132,171.232011318,-44.4062343767
"POINT (171.251417501611 -44.3983839942404)",341100,Timaru Central,0.8240427,0.8240427,1460749.9144,5082391.1038,-44.39838399,171.2514175,171.251417502,-44.3983839942
"POINT (171.260940502047 -44.4142046176064)",341200,Timaru East,3.59613141,3.73207075,1461545.62765,5080649.95235,-44.41420462,171.2609405,171.260940502,-44.4142046176
"POINT (171.246329210631 -44.4046903509938)",341300,Parkside,1.1472002,1.1472002,1460359.70645,5081681.9464,-44.40469035,171.24632921,171.246329211,-44.404690351
"POINT (171.247262220239 -44.4117460489885)",341400,Kensington (Timaru District),0.72551785,0.72551785,1460450.7823,5080899.81235,-44.41174605,171.24726222,171.24726222,-44.411746049
"POINT (170.305837824791 -43.9329966913212)",341500,Mackenzie Lakes,5134.25214651,5169.22622474,1383751.92235,5132040.1838,-43.93299669,170.30583782,170.305837825,-43.9329966913
